#Quantes vegades vols fer f(x)?
#Quin vols que sigui el pas?
#quin vols que sigui h?
7.800000e-02 8.163839e-01 5.725459e+00 6.459792e-01 -5.433048e+00
7.900000e-02 8.220575e-01 5.621716e+00 6.405146e-01 -5.495341e+00
8.000000e-02 8.276276e-01 5.518615e+00 6.349905e-01 -5.551736e+00
8.100000e-02 8.330949e-01 5.416154e+00 6.294130e-01 -5.602412e+00
8.200000e-02 8.384601e-01 5.314332e+00 6.237876e-01 -5.647548e+00
8.300000e-02 8.437238e-01 5.213147e+00 6.181197e-01 -5.687319e+00
8.400000e-02 8.488866e-01 5.112598e+00 6.124146e-01 -5.721895e+00
8.500000e-02 8.539492e-01 5.012683e+00 6.066776e-01 -5.751446e+00
8.600000e-02 8.589122e-01 4.913401e+00 6.009134e-01 -5.776134e+00
8.700000e-02 8.637762e-01 4.814750e+00 5.951269e-01 -5.796121e+00
8.800000e-02 8.685419e-01 4.716729e+00 5.893226e-01 -5.811566e+00
8.900000e-02 8.732099e-01 4.619335e+00 5.835052e-01 -5.822622e+00
9.000000e-02 8.777808e-01 4.522569e+00 5.776788e-01 -5.829443e+00
9.100000e-02 8.822552e-01 4.426427e+00 5.718477e-01 -5.832176e+00
9.200000e-02 8.866338e-01 4.330909e+00 5.660158e-01 -5.830967e+00
9.300000e-02 8.909172e-01 4.236013e+00 5.601870e-01 -5.825958e+00
9.400000e-02 8.951061e-01 4.141737e+00 5.543651e-01 -5.817290e+00
9.500000e-02 8.992009e-01 4.048080e+00 5.485536e-01 -5.805098e+00
9.600000e-02 9.032024e-01 3.955041e+00 5.427560e-01 -5.789517e+00
9.700000e-02 9.071112e-01 3.862617e+00 5.369757e-01 -5.770677e+00
9.800000e-02 9.109279e-01 3.770808e+00 5.312157e-01 -5.748707e+00
9.900000e-02 9.146530e-01 3.679612e+00 5.254792e-01 -5.723731e+00
1.000000e-01 9.182873e-01 3.589027e+00 5.197692e-01 -5.695873e+00
1.010000e-01 9.218313e-01 3.499052e+00 5.140884e-01 -5.665252e+00
1.020000e-01 9.252856e-01 3.409686e+00 5.084396e-01 -5.631985e+00
1.030000e-01 9.286509e-01 3.320926e+00 5.028253e-01 -5.596188e+00
1.040000e-01 9.319276e-01 3.232771e+00 4.972480e-01 -5.557972e+00
1.050000e-01 9.351166e-01 3.145220e+00 4.917101e-01 -5.517447e+00
1.060000e-01 9.382183e-01 3.058271e+00 4.862139e-01 -5.474719e+00
1.070000e-01 9.412333e-01 2.971922e+00 4.807614e-01 -5.429893e+00
1.080000e-01 9.441623e-01 2.886173e+00 4.753547e-01 -5.383071e+00
1.090000e-01 9.470059e-01 2.801022e+00 4.699959e-01 -5.334354e+00
